"initial_creation_date","last_change_date","material","material_9","material_7","ai","mat_description","mat_description_eng","plant","planner","replenishment_type","rounding_value","lot_size","minimum_lot_size","safety_time_days","safety_time_ind","leadtime_hours","planning_time_fence","planned_delivery_time","safety_stock","unit_of_quantity","length","width","height","uom_lwh","volume","unit_of_volume","gross_weight","net_weight","unit_of_weight","stacking_factor","material_group","run_out_date","proc_type","part_type","character","init_upg","init_use_type","procurement_type","storage_location","bwd_consumption_per","fwd_consumption_per","pps_planning_calendar","factory_calendar","mrp_group","mixed_mrp","strategy_group","consumption_mode","abc_indicator","spab_indicator","status","status_valid_from","bulk_material","omb_part","warehouse_number","storage_type_stock_placement","storage_type_stock_removement","release","release_date","release_type","release_action_code","active_material","plant_calendar","document_number","sid_client","snapdate","snaptimestamp","load_date","load_timestamp","_load_date"
"2017-05-26","2021-07-06","7410477-01","741047701","7410477","01","MD KLAMMER FEDERMATTE BK2","MDL BRACKET SPRING MAT BK2","MC10","048","PD","0.0000","TB","0.0000","00","",,"1","1","0.0000","EA","0.0000","0.0000","0.0000","","0.0000","","3.0000","3.0000","GRM","0","PRODPART",,,,,,,"F","","0","0","A0",,"","","","","C",,"S",,"",,"202","","",,,,,,,"0000000806022700","MCPCLNT001","2021-07-08","2021-07-08 10:16:42.000","2021-07-15","2021-07-15 20:04:13.000","2021-07-15"
"2017-05-26","2021-07-06","7410477-01","741047701","7410477","01","MD KLAMMER FEDERMATTE BK2","MDL BRACKET SPRING MAT BK2","MC10","048","PD","0.0000","TB","0.0000","00","",,"1","1","0.0000","EA","0.0000","0.0000","0.0000","","0.0000","","3.0000","3.0000","GRM","0","PRODPART",,,,,,,"F","","0","0","A0",,"","","","","C",,"S",,"",,"105","","",,,,,,,"0000000806022700","MCPCLNT001","2021-07-08","2021-07-08 10:16:42.000","2021-07-15","2021-07-15 20:04:13.000","2021-07-15"
"2017-05-26","2020-12-28","7410477-01","741047701","7410477","01","MD KLAMMER FEDERMATTE BK2","MDL BRACKET SPRING MAT BK2","MC10","048","PD","0.0000","TB","0.0000","00","",,"1","1","0.0000","EA","0.0000","0.0000","0.0000","","0.0000","","3.0000","3.0000","GRM","0","PRODPART",,,,,,,"F","","0","0","A0",,"","","","","C",,"S",,"",,"105","","",,,,,,,"0000000768542372","MCPCLNT001","2021-03-01","2021-03-01 13:22:55.000","2021-05-24","2021-05-24 19:44:05.000","2021-05-24"
"2017-05-26","2020-12-28","7410477-01","741047701","7410477","01","MD KLAMMER FEDERMATTE BK2","MDL BRACKET SPRING MAT BK2","MC10","048","PD","0.0000","TB","0.0000","00","",,"1","1","0.0000","EA","0.0000","0.0000","0.0000","","0.0000","","3.0000","3.0000","GRM","0","PRODPART",,,,,,,"F","","0","0","A0",,"","","","","C",,"S",,"",,"202","","",,,,,,,"0000000768542372","MCPCLNT001","2021-03-01","2021-03-01 13:22:55.000","2021-05-24","2021-05-24 19:44:05.000","2021-05-24"
"2014-04-11","2020-04-01","7410477-01","741047701","7410477","01","MD KLAMMER FEDERMATTE BK2","MDL BRACKET SPRING MAT BK2","A120","766","S0","0.0000","EX","0.0000","","","0","1","0","0.0000","PCE","0.0000","0.0000","0.0000","","0.0000","","0.0030","0.0030","KGM","0","Z_SERIE",,"A","E","P","5210","G12","F","6000","0","0","",,"ZPRD","","","","","G","G","2014-10-06","",,"240","","","",,"","","A","D2","0000002763765662","PTDP010","2020-11-14","2020-11-14 17:30:13.000","2021-05-24","2021-05-24 19:14:18.000","2021-05-24"
"2017-05-26","2020-12-28","7410477-01","741047701","7410477","01","MD KLAMMER FEDERMATTE BK2","MDL BRACKET SPRING MAT BK2","MC10","048","PD","0.0000","TB","0.0000","00","",,"1","1","0.0000","EA","0.0000","0.0000","0.0000","","0.0000","","3.0000","3.0000","GRM","0","PRODPART",,,,,,,"F","","0","0","",,"","","","","C",,"S",,"",,"105","","",,,,,,,"0000000756638505","MCPCLNT001","2021-01-14","2021-01-14 07:35:14.000","2021-05-24","2021-05-24 19:26:19.000","2021-05-24"
"2014-04-11","2019-05-16","7410477-01","741047701","7410477","01","MD KLAMMER FEDERMATTE BK2","MDL BRACKET SPRING MAT BK2","A120","766","S0","0.0000","EX","0.0000","","","0","1","0","0.0000","PCE","0.0000","0.0000","0.0000","","0.0000","","0.0030","0.0030","KGM","0","Z_SERIE",,"A","E","P","5210","G12","F","6000","0","0","",,"ZPRD","","","","","G","G","2014-10-06","",,"240","","",,,,,,,"0000002419965419","PTDP010","2019-09-09","2019-09-09 21:49:26.000","2021-05-24","2021-05-24 19:45:33.000","2021-05-24"
"2017-05-26","2020-12-28","7410477-01","741047701","7410477","01","MD KLAMMER FEDERMATTE BK2","MDL BRACKET SPRING MAT BK2","MC10","048","PD","0.0000","TB","0.0000","00","",,"1","1","0.0000","EA","0.0000","0.0000","0.0000","","0.0000","","3.0000","3.0000","GRM","0","PRODPART",,,,,,,"F","","0","0","",,"","","","","C",,"S",,"",,"202","","",,,,,,,"0000000756638505","MCPCLNT001","2021-01-14","2021-01-14 07:35:14.000","2021-05-24","2021-05-24 19:26:19.000","2021-05-24"
"2014-04-11","2021-10-01","7410477-01","741047701","7410477","01","MD KLAMMER FEDERMATTE BK2","MDL BRACKET SPRING MAT BK2","A120","766","S0","0.0000","EX","0.0000","","","0","1","0","0.0000","PCE","0.0000","0.0000","0.0000","","0.0000","","0.0030","0.0030","KGM","0","Z_SERIE",,"A","E","P","5210","G12","F","6000","0","0","",,"ZPRD","","","","","G","G","2014-10-06","",,"240","","","",,"","","A","D2","0000003042555768","PTDP010","2021-10-01","2021-10-01 11:40:28.000","2021-10-01","2021-10-01 10:06:58.000","2021-10-01"
"2014-04-11","2020-04-01","7410477-01","741047701","7410477","01","MD KLAMMER FEDERMATTE BK2","MDL BRACKET SPRING MAT BK2","A120","766","S0","0.0000","EX","0.0000","","","0","1","0","0.0000","PCE","0.0000","0.0000","0.0000","","0.0000","","0.0030","0.0030","KGM","0","Z_SERIE",,"A","E","P","5210","G12","F","6000","0","0","",,"ZPRD","","","","","G","G","2014-10-06","",,"240","","",,,,,,,"0000002604443359","PTDP010","2020-05-22","2020-05-22 12:16:46.000","2021-05-24","2021-05-24 19:31:56.000","2021-05-24"
